"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","729","API-004 Invalid PUT request to brands list","","2026-06-14","passed","2026-06-14","","","",""
"","2992","UI-015.1 Cancel contact form submission","","2026-06-14","passed","2026-06-14","","","",""
"","2224","UI-012 Filter products by brand","","2026-06-14","passed","2026-06-14","","","",""
"","6968","UI-014 Update cart quantity","","2026-06-14","passed","2026-06-14","","","",""
"","1961","UI-010 Search product with valid keyword","","2026-06-14","passed","2026-06-14","","","",""
"","3655","UI-006 Invalid login validation","","2026-06-14","passed","2026-06-14","","","",""
"","4734","UI-013 Add product to cart","","2026-06-14","passed","2026-06-14","","","",""
"","13093","Register and login with same user","","2026-06-12","passed","2026-06-12","","","",""
"","1693","UI-008 Verify product grid","","2026-06-14","passed","2026-06-14","","","",""
"","2558","UI-016 Network interception and resiliency","","2026-06-14","passed","2026-06-14","","","",""
"","356","API-003 Get all brands","","2026-06-14","passed","2026-06-14","","","",""
"","359","API-006 Search product without required parameter","","2026-06-14","passed","2026-06-14","","","",""
"","376","API-005 Search product with valid input","","2026-06-14","passed","2026-06-14","","","",""
"","4871","UI-004 Register new user with dynamic data","","2026-06-14","passed","2026-06-14","","","",""
"","2830","UI-015 Submit contact form with file upload","","2026-06-14","passed","2026-06-14","","","",""
"","1416","API-007 User lifecycle validation","","2026-06-14","passed","2026-06-14","","","",""
"","3370","UI-001 Verify home page elements and layout","","2026-06-14","passed","2026-06-14","","","",""
"","2692","UI-011 Search product with no results","","2026-06-14","passed","2026-06-14","","","",""
"","650","API-002 Invalid POST request to products list","","2026-06-14","passed","2026-06-14","","","",""
"","362","API-008 Invalid login validation","","2026-06-14","passed","2026-06-14","","","",""
"","4415","UI-002 Validate header navigation","","2026-06-14","passed","2026-06-14","","","",""
"","3774","UI-009 Verify product details","","2026-06-14","passed","2026-06-14","","","",""
"","5086","UI-005 Login with valid credentials","","2026-06-14","passed","2026-06-14","","","",""
"","3887","UI-003 Navigate to login/signup page","","2026-06-14","passed","2026-06-14","","","",""
"","8181","UI-017 Multi-context session sharing","","2026-06-14","passed","2026-06-14","","","",""
"","1251","API-001 Get all products and validate structure","","2026-06-14","passed","2026-06-14","","","",""
"","7409","UI-007 Logout functionality","","2026-06-14","passed","2026-06-14","","","",""
